,songs_id,song_name,counts,album_id,album_name,format,country,year,genre,style
47,71f0efb0-9689-40b6-a5e7-e6077f12da28,Sa Mnom Spavaš Njega Sanjaš,2,https://www.discogs.com/%C5%A0aban-%C5%A0auli%C4%87-The-Best-Of/release/1914931,The Best Of,CD2×;Compilation;,Serbia,2008,"Electronic;Latin;Pop;Folk, World, & Country",Euro House;Downtempo;Salsa;Vocal;Ballad;Folk
48,593ef24e-2aad-415a-bda4-3a082251c9b4,Haos U Mojoj Glavi Pt.2,2,https://www.discogs.com/Vox-Populi-Ne-Mo%C5%BEe%C5%A1-Svima-Udovoljiti/release/12700331,Ne Možeš Svima Udovoljiti,CD;Album;,Serbia,2002,Rock,Punk;Hardcore
49,593ef24e-2aad-415a-bda4-3a082251c9b4,Haos U Mojoj Glavi Pt.2,2,https://www.discogs.com/Vox-Populi-Ne-Mo%C5%BEe%C5%A1-Svima-Udovoljiti/master/1442581,Ne Možeš Svima Udovoljiti,--,--,2002,Rock,Punk;Hardcore
50,3a7db967-f084-4684-97fe-2d415a3bc72d,Nije On Ono Što Ti Treba,2,https://www.discogs.com/%C5%BDeljko-Samard%C5%BEi%C4%87-Kojim-Dobrom-Mila-Moja/master/829227,Kojim Dobrom Mila Moja...,--,--,2009,"Electronic;Rock;Pop;Folk, World, & Country",Euro House;Pop Rock;Vocal;Europop;Folk
51,3a7db967-f084-4684-97fe-2d415a3bc72d,Nije On Ono Što Ti Treba,2,https://www.discogs.com/%C5%BDeljko-Samard%C5%BEi%C4%87-Kojim-Dobrom-Mila-Moja/release/6947528,Kojim Dobrom Mila Moja...,CD;Album;,Serbia,2009,"Electronic;Rock;Pop;Folk, World, & Country",Euro House;Pop Rock;Vocal;Europop;Folk
52,b043307f-652d-41ac-80e9-548164ea57eb,Beast Of The Nihilism,2,https://www.discogs.com/Amon-Din-Where-The-Dreams-No-Longer-Exist/master/1196025,Where The Dreams No Longer Exist,--,--,2007,Rock,Death Metal
53,b043307f-652d-41ac-80e9-548164ea57eb,Beast Of The Nihilism,2,https://www.discogs.com/Amon-Din-Where-The-Dreams-No-Longer-Exist/release/4086518,Where The Dreams No Longer Exist,CD;Album,Serbia,2007,Rock,Death Metal
54,e7ad1391-214f-41db-91b4-309f6183076d,Darkdelic Namyah Shivaya,2,https://www.discogs.com/Various-Strange-Side-Of-The-Moon/master/112323,Strange Side Of  The Moon,--,--,2008,Electronic,Psy-Trance
55,e7ad1391-214f-41db-91b4-309f6183076d,Darkdelic Namyah Shivaya,2,https://www.discogs.com/Various-Strange-Side-Of-The-Moon/release/1347493,Strange Side Of  The Moon,File9×;WAV;Compilation,Serbia,2008,Electronic,Psy-Trance
56,1b54f87b-867a-4658-93e8-f27d250ee7a9,Odlazim Zauvek,2,https://www.discogs.com/%C4%90ogani-Ljubav-Moja/release/1344162,Ljubav Moja,CD;Album,Serbia,2007,"Electronic;Pop;Folk, World, & Country",Vocal
57,1b54f87b-867a-4658-93e8-f27d250ee7a9,Odlazim Zauvek,2,https://www.discogs.com/%C4%90ogani-Ljubav-Moja/master/895076,Ljubav Moja,--,--,2007,"Electronic;Pop;Folk, World, & Country",Vocal
58,5936c018-540e-4361-8ba0-399b9ab9d269,My Time Is Coming,2,https://www.discogs.com/Zona-B-Original/master/1289310,Original,--,--,2003,Blues,Electric Blues
59,5936c018-540e-4361-8ba0-399b9ab9d269,My Time Is Coming,2,https://www.discogs.com/Zona-B-Original/release/6232977,Original,CD;Album,Serbia,2003,Blues,Electric Blues
60,71fe16c5-59a7-47f5-a520-98cc9d2e16cf,Coban Tera Ovcice,2,https://www.discogs.com/Ritam-Srca-%C5%BDurka/master/1308286,Žurka,--,--,2000,"Folk, World, & Country",Folk
61,71fe16c5-59a7-47f5-a520-98cc9d2e16cf,Coban Tera Ovcice,2,https://www.discogs.com/Ritam-Srca-%C5%BDurka/release/6849339,Žurka,CD,Serbia,2000,"Folk, World, & Country",Folk
62,1b4c22ea-9a2d-478f-b97d-06259bacbd5e,Broken Bells,2,https://www.discogs.com/Various-Strange-Side-Of-The-Moon/master/112323,Strange Side Of  The Moon,--,--,2008,Electronic,Psy-Trance
63,1b4c22ea-9a2d-478f-b97d-06259bacbd5e,Broken Bells,2,https://www.discogs.com/Various-Strange-Side-Of-The-Moon/release/1347493,Strange Side Of  The Moon,File9×;WAV;Compilation,Serbia,2008,Electronic,Psy-Trance
64,3a8d040b-001b-4c0d-a939-dcf6cfc8c10b,Šoferska,2,https://www.discogs.com/Goran-Bregovi%C4%87-Alkohol-%C5%A0ljivovica-Champange/master/222536,Alkohol (Šljivovica & Champange),--,--,2008,"Jazz;Rock;Blues;Pop;Folk, World, & Country",Gypsy Jazz
65,3a8d040b-001b-4c0d-a939-dcf6cfc8c10b,Šoferska,2,https://www.discogs.com/Goran-Bregovi%C4%87-Alkohol-%C5%A0ljivovica-Champange/release/9869148,Alkohol (Šljivovica & Champange),CD;Album,Serbia,2008,"Jazz;Rock;Blues;Pop;Folk, World, & Country",Gypsy Jazz
66,72072c86-8850-4e2d-9797-ec3955a2d850,Морана,2,https://www.discogs.com/Stone-To-Flesh-Serbian-Woods/master/1194148,Serbian Woods,--,--,1997,Rock,
67,72072c86-8850-4e2d-9797-ec3955a2d850,Морана,2,https://www.discogs.com/Stone-To-Flesh-Serbian-Woods/release/10425176,Serbian Woods,Cassette,Serbia,1997,Rock,
68,99f8e819-3e4f-43dd-b9d4-137ea6d25b3b,Cruciform,2,https://www.discogs.com/Aleksandar-Randjelovi%C4%87-Genesis-Rising/release/2281844,Genesis Rising,CD;Album;Enhanced,Serbia,2007,Electronic;Rock;Stage & Screen,Ambient;Downtempo;Score;Symphonic Rock
69,99f8e819-3e4f-43dd-b9d4-137ea6d25b3b,Cruciform,2,https://www.discogs.com/Aleksandar-Randjelovi%C4%87-Genesis-Rising/master/421778,Genesis Rising,--,--,2007,Electronic;Rock;Stage & Screen,Ambient;Downtempo;Score;Symphonic Rock
70,99f564ea-573e-48a4-b911-3e1c7f55f003,Faith And Unity,2,https://www.discogs.com/Razor-88-Believe-In-Freedom/release/4916082,Believe In Freedom,CD;Album,Serbia,2006,Rock,Hard Rock;Rock & Roll;Oi
71,99f564ea-573e-48a4-b911-3e1c7f55f003,Faith And Unity,2,https://www.discogs.com/Razor-88-Believe-In-Freedom/master/685050,Believe In Freedom,--,--,2006,Rock,Hard Rock;Rock & Roll;Oi
72,71e1ebef-c715-4cad-ac58-bed3f56406ae,Ja Sam Tebe Ipak Volela,2,https://www.discogs.com/Ilda-%C5%A0auli%C4%87-Stani-Du%C5%A1o-Da-Te-Ispratim/release/3445288,Stani Dušo Da Te Ispratim,CD;Album,Serbia,2008,"Folk, World, & Country",Folk
73,71e1ebef-c715-4cad-ac58-bed3f56406ae,Ja Sam Tebe Ipak Volela,2,https://www.discogs.com/Ilda-%C5%A0auli%C4%87-Stani-Du%C5%A1o-Da-Te-Ispratim/master/686741,Stani Dušo Da Te Ispratim,--,--,2008,"Folk, World, & Country",Folk
